library	read_counts
insilico_ribodepleted_reads/D-AM-M20.nonrrna_2.fastq	8333587
insilico_ribodepleted_reads/R-RA-M20.nonrrna_2.fastq	19364005
insilico_ribodepleted_reads/R-JV-M21.nonrrna_2.fastq	25429966
insilico_ribodepleted_reads/R-AM-M20.nonrrna_2.fastq	17639656
insilico_ribodepleted_reads/D-RA-M20.nonrrna_2.fastq	10241774
insilico_ribodepleted_reads/M-GM-M21.nonrrna_1.fastq	24794778
insilico_ribodepleted_reads/D-AM-A20.nonrrna_1.fastq	14405866
insilico_ribodepleted_reads/R-RA-A20.nonrrna_1.fastq	18461901
insilico_ribodepleted_reads/R-AM-A20.nonrrna_1.fastq	16744937
insilico_ribodepleted_reads/D-RA-A20.nonrrna_1.fastq	21558767
insilico_ribodepleted_reads/R-HP-A20.nonrrna_1.fastq	20465154
insilico_ribodepleted_reads/D-HP-A20.nonrrna_1.fastq	20986451
insilico_ribodepleted_reads/D-JV-J21.nonrrna_1.fastq	25973967
insilico_ribodepleted_reads/R-JV-J21.nonrrna_1.fastq	27576197
insilico_ribodepleted_reads/M-HP-M20.nonrrna_1.fastq	22289805
insilico_ribodepleted_reads/M-AM-M20.nonrrna_1.fastq	13045550
insilico_ribodepleted_reads/C-PL-M20.nonrrna_1.fastq	20175541
insilico_ribodepleted_reads/T-VA-M21.nonrrna_2.fastq	17141392
insilico_ribodepleted_reads/R-GM-M21.nonrrna_2.fastq	22180764
insilico_ribodepleted_reads/D-GM-M21.nonrrna_2.fastq	23255919
insilico_ribodepleted_reads/T-PL-J21.nonrrna_2.fastq	21485889
insilico_ribodepleted_reads/M-JV-M21.nonrrna_1.fastq	24891223
insilico_ribodepleted_reads/M-RA-M20.nonrrna_1.fastq	22970621
